div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
66;RISARALDA;2023;186;988091;18.824177125386225;3784;4.915433403805497
66;RISARALDA;2022;219;977829;22.396553998705294;3784;5.787526427061311
66;RISARALDA;2021;228;968626;23.538496798557958;3784;6.025369978858351
66;RISARALDA;2020;238;961055;24.764451566247512;3784;6.289640591966174
66;RISARALDA;2019;225;952511;23.621774446699302;3784;5.946088794926005
66;RISARALDA;2018;219;943401;23.21388253775436;3784;5.787526427061311
66;RISARALDA;2017;275;935164;29.4066067556065;3784;7.267441860465117
66;RISARALDA;2016;287;929046;30.891904168361954;3784;7.584566596194503
66;RISARALDA;2015;313;923443;33.89489118440445;3784;8.271670190274842
66;RISARALDA;2014;324;918965;35.25705549177607;3784;8.562367864693446
66;RISARALDA;2013;356;915413;38.889550399655676;3784;9.408033826638478
66;RISARALDA;2012;385;912087;42.21088558437956;3784;10.174418604651162
66;RISARALDA;2011;393;907896;43.28689629649211;3784;10.38583509513742
66;RISARALDA;2010;136;902994;15.061008157307802;3784;3.5940803382663846
54;NORTE DE SANTANDER;2023;396;1658835;23.87217535197895;6824;5.8030480656506445
54;NORTE DE SANTANDER;2022;475;1651278;28.765598524294518;6824;6.960726846424385
54;NORTE DE SANTANDER;2021;595;1642746;36.219841655374594;6824;8.719226260257914
54;NORTE DE SANTANDER;2020;648;1620318;39.9921496891351;6824;9.495896834701055
54;NORTE DE SANTANDER;2019;515;1565362;32.89973820752005;6824;7.546893317702227
54;NORTE DE SANTANDER;2018;522;1491689;34.99388947696202;6824;7.64947245017585
54;NORTE DE SANTANDER;2017;514;1446748;35.52795649276861;6824;7.532239155920281
54;NORTE DE SANTANDER;2016;515;1424761;36.1464133282705;6824;7.546893317702227
54;NORTE DE SANTANDER;2015;371;1409900;26.313922973260514;6824;5.436694021101992
54;NORTE DE SANTANDER;2014;409;1401015;29.193120701776923;6824;5.993552168815944
54;NORTE DE SANTANDER;2013;515;1392708;36.978318498924395;6824;7.546893317702227
54;NORTE DE SANTANDER;2012;629;1383705;45.45766619329987;6824;9.21746776084408
54;NORTE DE SANTANDER;2011;571;1374254;41.54981539075018;6824;8.367526377491208
54;NORTE DE SANTANDER;2010;149;1363889;10.924642694530126;6824;2.183470105509965
44;GUAJIRA;2023;125;1015909;12.30425166033572;2601;4.805843906189927
44;GUAJIRA;2022;174;1002394;17.3584438853385;2601;6.6897347174163775
44;GUAJIRA;2021;173;987781;17.514003610111956;2601;6.651287966166859
44;GUAJIRA;2020;215;965718;22.263227981667526;2601;8.266051518646675
