div_dpto;departamento;div_mun;municipio;casos;mes;ano
76;Valle del Cauca;76243;El Águila;24;Enero - Septiembre;2022
5;Antioquia;5250;El Bagre;38;Enero - Septiembre;2022
47;Magdalena;47245;El Banco;16;Enero - Septiembre;2022
76;Valle del Cauca;76246;El Cairo;4;Enero - Septiembre;2022
27;Chocó;27135;El Cantón del San Pablo;1;Enero - Septiembre;2022
54;Norte de Santander;54245;El Carmen;5;Enero - Septiembre;2022
27;Chocó;27245;El Carmen de Atrato;2;Enero - Septiembre;2022
13;Bolívar;13244;El Carmen de Bolívar;28;Enero - Septiembre;2022
68;Santander;68235;El Carmen de Chucurí;4;Enero - Septiembre;2022
5;Antioquia;5148;El Carmen de Viboral;9;Enero - Septiembre;2022
50;Meta;50251;El Castillo;2;Enero - Septiembre;2022
76;Valle del Cauca;76248;El Cerrito;25;Enero - Septiembre;2022
52;Nariño;52250;El Charco;5;Enero - Septiembre;2022
25;Cundinamarca;25245;El Colegio;1;Enero - Septiembre;2022
15;Boyacá;15212;Coper;0;Enero - Septiembre;2022
20;Cesar;20238;El Copey;17;Enero - Septiembre;2022
18;Caquetá;18247;El Doncello;1;Enero - Septiembre;2022
76;Valle del Cauca;76250;El Dovio;3;Enero - Septiembre;2022
68;Santander;68245;El Guacamayo;1;Enero - Septiembre;2022
27;Chocó;27250;El Litoral del San Juan;2;Enero - Septiembre;2022
20;Cesar;20250;El Paso;18;Enero - Septiembre;2022
18;Caquetá;18256;El Paujíl;9;Enero - Septiembre;2022
52;Nariño;52254;El Peñol;1;Enero - Septiembre;2022
47;Magdalena;47258;El Piñón;2;Enero - Septiembre;2022
68;Santander;68255;El Playón;1;Enero - Septiembre;2022
47;Magdalena;47268;El Retén;8;Enero - Septiembre;2022
95;Guaviare;95025;El Retorno;4;Enero - Septiembre;2022
70;Sucre;70233;El Roble;3;Enero - Septiembre;2022
25;Cundinamarca;25260;El Rosal;1;Enero - Septiembre;2022
52;Nariño;52256;El Rosario;9;Enero - Septiembre;2022
5;Antioquia;5697;El Santuario;5;Enero - Septiembre;2022
52;Nariño;52258;El Tablón de Gómez;1;Enero - Septiembre;2022
19;Cauca;19256;El Tambo;35;Enero - Septiembre;2022
52;Nariño;52260;El Tambo;3;Enero - Septiembre;2022
54;Norte de Santander;54250;El Tarra;4;Enero - Septiembre;2022
54;Norte de Santander;54261;El Zulia;10;Enero - Septiembre;2022
5;Antioquia;5264;Entrerríos;1;Enero - Septiembre;2022
5;Antioquia;5266;Envigado;8;Enero - Septiembre;2022
73;Tolima;73268;Espinal;26;Enero - Septiembre;2022
25;Cundinamarca;25269;Facatativá;17;Enero - Septiembre;2022
73;Tolima;73270;Falan;1;Enero - Septiembre;2022
73;Tolima;73275;Flandes;9;Enero - Septiembre;2022
18;Caquetá;18001;Florencia;22;Enero - Septiembre;2022
19;Cauca;19290;Florencia;5;Enero - Septiembre;2022
15;Boyacá;15276;Floresta;1;Enero - Septiembre;2022
68;Santander;68271;Florián;1;Enero - Septiembre;2022
76;Valle del Cauca;76275;Florida;34;Enero - Septiembre;2022
68;Santander;68276;Floridablanca;28;Enero - Septiembre;2022
44;La Guajira;44279;Fonseca;14;Enero - Septiembre;2022
81;Arauca;81300;Fortul;39;Enero - Septiembre;2022
52;Nariño;52520;Francisco Pizarro;3;Enero - Septiembre;2022
5;Antioquia;5282;Fredonia;15;Enero - Septiembre;2022
73;Tolima;73283;Fresno;6;Enero - Septiembre;2022
5;Antioquia;5284;Frontino;13;Enero - Septiembre;2022
50;Meta;50287;Fuente de Oro;4;Enero - Septiembre;2022
47;Magdalena;47288;Fundación;17;Enero - Septiembre;2022
25;Cundinamarca;25286;Funza;5;Enero - Septiembre;2022
25;Cundinamarca;25290;Fusagasugá;7;Enero - Septiembre;2022
25;Cundinamarca;25295;Gachancipá;3;Enero - Septiembre;2022
8;Atlántico;8296;Galapa;7;Enero - Septiembre;2022
70;Sucre;70235;Galeras;1;Enero - Septiembre;2022
20;Cesar;20295;Gamarra;3;Enero - Septiembre;2022
41;Huila;41298;Garzón;11;Enero - Septiembre;2022
63;Quindio;63302;Génova;2;Enero - Septiembre;2022
41;Huila;41306;Gigante;4;Enero - Septiembre;2022
76;Valle del Cauca;76306;Ginebra;1;Enero - Septiembre;2022
5;Antioquia;5306;Giraldo;4;Enero - Septiembre;2022
25;Cundinamarca;25307;Girardot;35;Enero - Septiembre;2022
