div_dpto;departamento;div_mun;municipio;ano;mes;casos;fecha
5;Antioquia;5042;Santafé de Antioquia;2023;Diciembre;0;
5;Antioquia;5042;Santafé de Antioquia;2023;Noviembre;0;
5;Antioquia;5042;Santafé de Antioquia;2023;Octubre;0;
5;Antioquia;5042;Santafé de Antioquia;2023;Septiembre;0;
5;Antioquia;5044;Anzá;2023;Agosto;0;
5;Antioquia;5044;Anzá;2023;Diciembre;0;
5;Antioquia;5044;Anzá;2023;Noviembre;0;
5;Antioquia;5044;Anzá;2023;Octubre;0;
5;Antioquia;5044;Anzá;2023;Septiembre;0;
5;Antioquia;5045;Apartadó;2023;Agosto;0;
5;Antioquia;5045;Apartadó;2023;Diciembre;0;
5;Antioquia;5045;Apartadó;2023;Noviembre;0;
5;Antioquia;5045;Apartadó;2023;Octubre;0;
5;Antioquia;5045;Apartadó;2023;Septiembre;0;
5;Antioquia;5051;Arboletes;2023;Agosto;0;
5;Antioquia;5051;Arboletes;2023;Diciembre;0;
5;Antioquia;5051;Arboletes;2023;Noviembre;0;
5;Antioquia;5051;Arboletes;2023;Octubre;0;
5;Antioquia;5051;Arboletes;2023;Septiembre;0;
5;Antioquia;5055;Argelia;2023;Agosto;0;
5;Antioquia;5055;Argelia;2023;Diciembre;0;
5;Antioquia;5055;Argelia;2023;Noviembre;0;
5;Antioquia;5055;Argelia;2023;Octubre;0;
5;Antioquia;5055;Argelia;2023;Septiembre;0;
5;Antioquia;5059;Armenia;2023;Agosto;0;
5;Antioquia;5059;Armenia;2023;Diciembre;0;
5;Antioquia;5059;Armenia;2023;Noviembre;0;
5;Antioquia;5059;Armenia;2023;Octubre;0;
5;Antioquia;5059;Armenia;2023;Septiembre;0;
5;Antioquia;5079;Barbosa;2023;Agosto;0;
5;Antioquia;5079;Barbosa;2023;Diciembre;0;
5;Antioquia;5079;Barbosa;2023;Noviembre;0;
5;Antioquia;5079;Barbosa;2023;Octubre;0;
5;Antioquia;5079;Barbosa;2023;Septiembre;0;
5;Antioquia;5086;Belmira;2023;Agosto;0;
5;Antioquia;5086;Belmira;2023;Diciembre;0;
5;Antioquia;5086;Belmira;2023;Noviembre;0;
5;Antioquia;5086;Belmira;2023;Octubre;0;
5;Antioquia;5086;Belmira;2023;Septiembre;0;
5;Antioquia;5088;Bello;2023;Agosto;0;
5;Antioquia;5088;Bello;2023;Diciembre;0;
5;Antioquia;5088;Bello;2023;Noviembre;0;
5;Antioquia;5088;Bello;2023;Octubre;0;
5;Antioquia;5088;Bello;2023;Septiembre;0;
5;Antioquia;5091;Betania;2023;Agosto;0;
5;Antioquia;5091;Betania;2023;Diciembre;0;
5;Antioquia;5091;Betania;2023;Noviembre;0;
5;Antioquia;5091;Betania;2023;Octubre;0;
5;Antioquia;5091;Betania;2023;Septiembre;0;
5;Antioquia;5093;Betulia;2023;Agosto;0;
5;Antioquia;5093;Betulia;2023;Diciembre;0;
5;Antioquia;5093;Betulia;2023;Noviembre;0;
5;Antioquia;5093;Betulia;2023;Octubre;0;
5;Antioquia;5093;Betulia;2023;Septiembre;0;
5;Antioquia;5101;Ciudad Bolívar;2023;Agosto;0;
5;Antioquia;5101;Ciudad Bolívar;2023;Diciembre;0;
5;Antioquia;5101;Ciudad Bolívar;2023;Noviembre;0;
5;Antioquia;5101;Ciudad Bolívar;2023;Octubre;0;
5;Antioquia;5101;Ciudad Bolívar;2023;Septiembre;0;
5;Antioquia;5107;Briceño;2023;Agosto;0;
5;Antioquia;5107;Briceño;2023;Diciembre;0;
5;Antioquia;5107;Briceño;2023;Noviembre;0;
5;Antioquia;5107;Briceño;2023;Octubre;0;
5;Antioquia;5107;Briceño;2023;Septiembre;0;
5;Antioquia;5113;Buriticá;2023;Agosto;0;
5;Antioquia;5113;Buriticá;2023;Diciembre;0;
5;Antioquia;5113;Buriticá;2023;Noviembre;0;
5;Antioquia;5113;Buriticá;2023;Octubre;0;
5;Antioquia;5113;Buriticá;2023;Septiembre;0;
5;Antioquia;5120;Cáceres;2023;Agosto;0;
5;Antioquia;5120;Cáceres;2023;Diciembre;0;
5;Antioquia;5120;Cáceres;2023;Noviembre;0;
5;Antioquia;5120;Cáceres;2023;Octubre;0;
5;Antioquia;5120;Cáceres;2023;Septiembre;0;
5;Antioquia;5125;Caicedo;2023;Agosto;0;
5;Antioquia;5125;Caicedo;2023;Diciembre;0;
5;Antioquia;5125;Caicedo;2023;Noviembre;0;
