div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep
5;Antioquia;5040;Anorí;2022;Septiembre;Total;19704;3;15.22533495736906;0.2744739249771272;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Abril;Total;20011;2;9.994503023337163;0.19342359767891684;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Enero;Total;20011;1;4.997251511668582;0.09090909090909091;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Febrero;Total;20011;2;9.994503023337163;0.2061855670103093;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Julio;Total;20011;1;4.997251511668582;0.08326394671107411;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Junio;Total;20011;3;14.991754535005747;0.264783759929391;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Marzo;Total;20011;1;4.997251511668582;0.0931098696461825;Anorí - Antioquia
5;Antioquia;5040;Anorí;2023;Mayo;Total;20011;3;14.991754535005747;0.26833631484794274;Anorí - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Abril;Total;27844;1;3.5914380117799163;0.0881057268722467;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Agosto;Total;27844;2;7.182876023559833;0.1841620626151013;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Diciembre;Total;27844;1;3.5914380117799163;0.08305647840531562;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Julio;Total;27844;1;3.5914380117799163;0.08361204013377926;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Junio;Total;27844;4;14.365752047119665;0.3875968992248062;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Marzo;Total;27844;2;7.182876023559833;0.18484288354898337;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Mayo;Total;27844;3;10.77431403533975;0.2546689303904924;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Octubre;Total;27844;1;3.5914380117799163;0.08703220191470844;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2022;Septiembre;Total;27844;1;3.5914380117799163;0.09149130832570906;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2023;Abril;Total;28279;2;7.072385869373033;0.19342359767891684;Santafé de Antioquia - Antioquia
5;Antioquia;5042;Santafé de Antioquia;2023;Julio;Total;28279;2;7.072385869373033;0.16652789342214822;Santafé de Antioquia - Antioquia
