div_mun;Proy
25823;4594
25817;49035
25815;17814
25807;3523
25805;4975
25799;25841
25797;11294
25793;9281
25785;25964
25781;6908
25779;7579
25777;5944
25772;20098
25769;17956
25758;31106
25754;808288
25745;15080
25743;25190
25740;39313
25736;13561
25718;12355
25662;9155
25658;12702
25653;5339
25649;9635
25645;13758
25612;15411
25599;9381
25596;7009
25594;5700
25592;5284
25580;3687
25572;17878
25535;10323
25530;9886
25524;5720
25518;4589
25513;27672
25506;4771
25491;7037
25489;4036
25488;12902
25486;15585
25483;2642
25473;161610
25438;8806
25436;4175
25430;136374
25426;6733
25407;11576
25402;19992
25398;6536
25394;10521
25386;38746
25377;35301
25372;6514
25368;2483
25339;3825
25335;7232
25328;5087
25326;7304
25324;2973
25322;18160
25320;35617
25317;15272
25312;8505
25307;117744
25299;3447
25297;9157
25295;20784
25293;4724
25290;165340
25288;5588
25286;112720
25281;6475
25279;13730
25269;167309
25260;26567
25258;5136
25245;28072
25224;8855
25214;39679
25200;26204
25183;23892
25181;12363
25178;10786
25175;160435
25168;4680
25154;8515
25151;19257
25148;13931
25126;99720
25123;11478
25120;5429
25099;11898
25095;2754
25086;2022
25053;11753
25040;15633
25035;17227
25019;7377
25001;13217
23855;36886
23815;55791
23807;96620
23686;53786
23682;14023
23678;27777
23675;37629
23672;35566
23670;48760
23660;111882
23586;17850
23580;44233
23574;24733
23570;37032
23555;65745
23500;31047
23466;87187
23464;20422
23419;19607
23417;117188
23350;15446
23300;19845
23189;61426
23182;49422
23168;18173
23162;110032
23090;15668
23079;21772
23068;47954
23001;512994
20787;16766
20770;29794
20750;21199
20710;29472
20621;30657
20614;18427
20570;30491
20550;23085
20517;20407
20443;11221
20400;52771
20383;19105
20310;4731
20295;16429
20250;42322
20238;32777
20228;41080
20178;30687
20175;37519
20060;44878
20045;24138
20032;21812
20013;66979
20011;122902
20001;552048
19845;21674
19824;26027
19821;37289
19809;27038
19807;36875
19785;9826
19780;33053
19760;14440
19743;38680
19701;5469
19698;114832
19693;11239
19622;11724
19585;17850
19573;42462
19548;42515
19533;9409
19532;38094
19517;47499
19513;10152
19473;40733
19455;32602
19450;23467
19418;19239
19397;25036
19392;10825
19364;18869
19355;29918
19318;28139
19300;20340
19290;5389
19256;54629
19212;25847
19142;30699
19137;42447
19130;43527
19110;32568
19100;37586
19075;21780
19050;27013
19022;18468
19001;330750
18860;7199
18785;6480
18756;11749
18753;53717
18610;13379
18592;26838
18479;3826
18460;10165
18410;15003
18256;18859
18247;19692
18205;7938
18150;31817
18094;11418
18029;4489
18001;176706
17877;13078
17873;68625
17867;10533
17777;29884
17665;5002
17662;20317
17653;19733
17616;10753
17614;52878
17541;20102
17524;15956
17513;15593
17495;6235
17486;21484
17446;2589
17444;13727
17442;9330
17433;18106
17388;5985
17380;75319
17272;11600
17174;53184
17088;10837
17050;10741
17042;37335
17013;23452
17001;454077
15897;4687
15879;2847
15861;16313
15842;7654
15839;2066
15837;8577
15835;6239
15832;1598
15822;5303
15820;3747
15816;4393
15814;9013
15810;3334
15808;3397
15806;13579
15804;9242
15798;3872
15790;5870
15778;4279
15776;6313
15774;2740
15764;6150
15763;8417
15762;3118
15761;2919
15759;132895
15757;8195
15755;7308
15753;8951
15740;6865
15723;1120
15720;2182
15696;3255
15693;13504
15690;3545
15686;7814
15681;6806
15676;3052
15673;3173
15667;5547
15664;5066
15660;1682
15646;19075
15638;5755
15632;14035
15621;2405
15600;8136
15599;10212
15580;5049
15572;48930
15550;1817
15542;6821
15537;4254
15533;2670
15531;7309
15522;1720
15518;2446
15516;35153
15514;3288
15511;2474
15507;8112
15500;2929
15494;5287
15491;16671
15480;8507
15476;5781
15469;23346
15466;4350
15464;4681
15455;9136
15442;5759
15425;5140
15407;17205
15403;2767
15401;1132
15380;2727
15377;3540
15368;3941
15367;7437
15362;2022
15332;4359
15325;3437
15322;11051
15317;1859
15299;18572
15296;4916
15293;2815
15276;3274
15272;6895
15248;3095
15244;4170
15238;128400
15236;2560
15232;4808
15226;1834
15224;3838
15223;10897
15218;2738
15215;2579
15212;3619
15204;13461
15189;4718
15187;2872
15185;5944
15183;7898
15180;3939
15176;58726
15172;3237
15162;3756
15135;3102
15131;3168
15114;1169
15109;4455
15106;2192
15104;5187
15097;4862
15092;1961
15090;1603
15087;7633
15051;6060
15047;15755
15022;1831
15001;181710
13894;12634
13873;25876
13838;17857
13836;116340
13810;19521
13780;13515
13760;11114
13744;19632
13688;35452
13683;22982
13673;15327
13670;29476
13667;15275
13657;39506
13655;10915
13654;25175
13650;13355
13647;19613
13620;8788
13600;11008
13580;7412
13549;25333
13490;10207
13473;23940
13468;47585
13458;18054
13442;49686
13440;11392
13433;30105
13430;143710
13300;13345
13268;8281
13248;9212
13244;74436
13222;15848
13212;16892
13188;14668
13160;8918
13140;23683
13074;15566
13062;8933
13052;75615
13042;7974
13030;11881
13006;25531
13001;1055035
11001;7901653
