div_dpto;dpto;div_mun;municipio;PDET;CATEGORIA
5;Antioquia;5856;Valparaíso;N/A;6
5;Antioquia;5858;Vegachí;N/A;6
5;Antioquia;5861;Venecia;N/A;6
5;Antioquia;5873;Vigía del Fuerte;PDET;6
5;Antioquia;5885;Yalí;N/A;6
5;Antioquia;5887;Yarumal;N/A;6
5;Antioquia;5890;Yolombó;N/A;6
5;Antioquia;5893;Yondó;PDET;5
5;Antioquia;5895;Zaragoza;PDET;6
8;Atlántico;8001;Barranquilla;N/A;ESP
8;Atlántico;8078;Baranoa;N/A;6
8;Atlántico;8137;Campo de La Cruz;N/A;6
8;Atlántico;8141;Candelaria;N/A;6
8;Atlántico;8296;Galapa;N/A;6
8;Atlántico;8372;Juan de Acosta;N/A;6
8;Atlántico;8421;Luruaco;N/A;6
8;Atlántico;8433;Malambo;N/A;4
8;Atlántico;8436;Manatí;N/A;6
8;Atlántico;8520;Palmar de Varela;N/A;6
8;Atlántico;8549;Piojó;N/A;6
8;Atlántico;8558;Polonuevo;N/A;6
8;Atlántico;8560;Ponedera;N/A;6
8;Atlántico;8573;Puerto Colombia;N/A;3
8;Atlántico;8606;Repelón;N/A;6
8;Atlántico;8634;Sabanagrande;N/A;6
8;Atlántico;8638;Sabanalarga;N/A;5
8;Atlántico;8675;Santa Lucía;N/A;6
8;Atlántico;8685;Santo Tomás;N/A;6
8;Atlántico;8758;Soledad;N/A;2
8;Atlántico;8770;Suan;N/A;6
8;Atlántico;8832;Tubará;N/A;6
8;Atlántico;8849;Usiacurí;N/A;6
11;Bogotá. D.C.;11001;Bogotá. D.C.;N/A;ESP
13;Bolívar;13001;Cartagena de Indias;N/A;ESP
13;Bolívar;13006;Achí;N/A;6
13;Bolívar;13030;Altos del Rosario;N/A;6
13;Bolívar;13042;Arenal;PDET;6
13;Bolívar;13052;Arjona;N/A;6
13;Bolívar;13062;Arroyohondo;N/A;6
13;Bolívar;13074;Barranco de Loba;N/A;6
13;Bolívar;13140;Calamar;N/A;6
13;Bolívar;13160;Cantagallo;PDET;6
13;Bolívar;13188;Cicuco;N/A;6
13;Bolívar;13212;Córdoba;PDET;6
13;Bolívar;13222;Clemencia;N/A;6
13;Bolívar;13244;El Carmen de Bolívar;PDET;6
13;Bolívar;13248;El Guamo;PDET;6
13;Bolívar;13268;El Peñón;N/A;6
13;Bolívar;13300;Hatillo de Loba;N/A;6
13;Bolívar;13430;Magangué;N/A;5
13;Bolívar;13433;Mahates;N/A;6
13;Bolívar;13440;Margarita;N/A;6
13;Bolívar;13442;María La Baja;PDET;6
13;Bolívar;13458;Montecristo;N/A;6
13;Bolívar;13468;Mompós;N/A;6
13;Bolívar;13473;Morales;PDET;6
13;Bolívar;13490;Norosí;N/A;#N/D
13;Bolívar;13549;Pinillos;N/A;6
13;Bolívar;13580;Regidor;N/A;6
13;Bolívar;13600;Río Viejo;N/A;6
13;Bolívar;13620;San Cristóbal;N/A;6
13;Bolívar;13647;San Estanislao;N/A;6
13;Bolívar;13650;San Fernando;N/A;6
13;Bolívar;13654;San Jacinto;PDET;6
13;Bolívar;13655;San Jacinto del Cauca;N/A;6
13;Bolívar;13657;San Juan Nepomuceno;PDET;6
13;Bolívar;13667;San Martín de Loba;N/A;6
13;Bolívar;13670;San Pablo;PDET;6
13;Bolívar;13673;Santa Catalina;N/A;6
13;Bolívar;13683;Santa Rosa;N/A;6
13;Bolívar;13688;Santa Rosa del Sur;PDET;6
13;Bolívar;13744;Simití;PDET;6
13;Bolívar;13760;Soplaviento;N/A;6
13;Bolívar;13780;Talaigua Nuevo;N/A;6
13;Bolívar;13810;Tiquisio;N/A;6
13;Bolívar;13836;Turbaco;N/A;3
13;Bolívar;13838;Turbaná;N/A;6
13;Bolívar;13873;Villanueva;N/A;6
13;Bolívar;13894;Zambrano;PDET;6
15;Boyacá;15001;Tunja;N/A;1
15;Boyacá;15022;Almeida;N/A;6
15;Boyacá;15047;Aquitania;N/A;6
15;Boyacá;15051;Arcabuco;N/A;6
15;Boyacá;15087;Belén;N/A;6
15;Boyacá;15090;Berbeo;N/A;6
15;Boyacá;15092;Betéitiva;N/A;6
15;Boyacá;15097;Boavita;N/A;6
15;Boyacá;15104;Boyacá;N/A;6
15;Boyacá;15106;Briceño;N/A;6
15;Boyacá;15109;Buenavista;N/A;6
15;Boyacá;15114;Busbanzá;N/A;6
15;Boyacá;15131;Caldas;N/A;6
15;Boyacá;15135;Campohermoso;N/A;6
15;Boyacá;15162;Cerinza;N/A;6
15;Boyacá;15172;Chinavita;N/A;6
15;Boyacá;15176;Chiquinquirá;N/A;5
15;Boyacá;15180;Chiscas;N/A;6
15;Boyacá;15183;Chita;N/A;6
15;Boyacá;15185;Chitaraque;N/A;6
15;Boyacá;15187;Chivatá;N/A;6
15;Boyacá;15189;Ciénega;N/A;6
15;Boyacá;15204;Cómbita;N/A;6
15;Boyacá;15212;Coper;N/A;6
15;Boyacá;15215;Corrales;N/A;6
15;Boyacá;15218;Covarachía;N/A;6
