div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep;concat;CambioCasos;CambioPor;Indicador;PDET;CATEGORIA
99;Vichada;99524;La Primavera;2023;Febrero;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Febrero-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Febrero;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Febrero-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Enero;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Enero-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Enero;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Enero-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Diciembre;Total;9946;0;0.0;;La Primavera-Vichada;99524-Diciembre-2023;-1.0;-100.0;MENOR;N/A;6
99;Vichada;99524;La Primavera;2022;Diciembre;Total;9846;1;10.156408693885842;0.0830564784053156;La Primavera-Vichada;99524-Diciembre-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Agosto;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Agosto-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Agosto;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Agosto-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Abril;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Abril-2023;-1.0;-100.0;MENOR;N/A;6
99;Vichada;99524;La Primavera;2022;Abril;Total;9846;1;10.156408693885842;0.0881057268722467;La Primavera-Vichada;99524-Abril-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Septiembre;Total;21007;0;0.0;0.0;Puerto Carreño-Vichada;99001-Septiembre-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Septiembre;Total;20798;0;0.0;0.0;Puerto Carreño-Vichada;99001-Septiembre-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Octubre;Total;21007;0;0.0;;Puerto Carreño-Vichada;99001-Octubre-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Octubre;Total;20798;0;0.0;0.0;Puerto Carreño-Vichada;99001-Octubre-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Noviembre;Total;21007;0;0.0;;Puerto Carreño-Vichada;99001-Noviembre-2023;-2.0;-100.0;MENOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Noviembre;Total;20798;2;9.616309260505815;0.1834862385321101;Puerto Carreño-Vichada;99001-Noviembre-2022;F;F;MAYOR;N/A;6
