div_dpto;departamento;div_mun;municipio;casos;mes;ano;prueba;CambioCasos;CambioPor;Indicador;población;PDET;CATEGORIA
81;Arauca;81736;Saravena;103;Enero - Septiembre;2022;81736-Enero - Septiembre-2022;F;F;MAYOR;65314;PDET;6
81;Arauca;81591;Puerto Rondón;14;Enero - Septiembre;2023;81591-Enero - Septiembre-2023;10.0;250.0;MAYOR;5098;N/A;6
81;Arauca;81591;Puerto Rondón;4;Enero - Septiembre;2022;81591-Enero - Septiembre-2022;F;F;MAYOR;5098;N/A;6
8;Atlántico;8141;Candelaria;1;Enero - Septiembre;2023;8141-Enero - Septiembre-2023;1.0;100.0;MAYOR;17714;N/A;6
8;Atlántico;8141;Candelaria;0;Enero - Septiembre;2022;8141-Enero - Septiembre-2022;F;F;MAYOR;17714;N/A;6
8;Atlántico;8137;Campo de La Cruz;1;Enero - Septiembre;2023;8137-Enero - Septiembre-2023;1.0;100.0;MAYOR;24274;N/A;6
8;Atlántico;8137;Campo de La Cruz;0;Enero - Septiembre;2022;8137-Enero - Septiembre-2022;F;F;MAYOR;24274;N/A;6
81;Arauca;81300;Fortul;7;Enero - Septiembre;2023;81300-Enero - Septiembre-2023;-32.0;-82.05128205128204;MENOR;20883;PDET;6
81;Arauca;81300;Fortul;39;Enero - Septiembre;2022;81300-Enero - Septiembre-2022;F;F;MAYOR;20883;PDET;6
81;Arauca;81220;Cravo Norte;0;Enero - Septiembre;2023;81220-Enero - Septiembre-2023;-1.0;-100.0;MENOR;4294;N/A;6
81;Arauca;81220;Cravo Norte;1;Enero - Septiembre;2022;81220-Enero - Septiembre-2022;F;F;MAYOR;4294;N/A;6
81;Arauca;81065;Arauquita;11;Enero - Septiembre;2023;81065-Enero - Septiembre-2023;-32.0;-74.4186046511628;MENOR;58270;PDET;6
81;Arauca;81065;Arauquita;43;Enero - Septiembre;2022;81065-Enero - Septiembre-2022;F;F;MAYOR;58270;PDET;6
81;Arauca;81001;Arauca;28;Enero - Septiembre;2023;81001-Enero - Septiembre-2023;-4.0;-12.5;MENOR;100365;N/A;4
81;Arauca;81001;Arauca;32;Enero - Septiembre;2022;81001-Enero - Septiembre-2022;F;F;MAYOR;100365;N/A;4
8;Atlántico;8078;Baranoa;2;Enero - Septiembre;2023;8078-Enero - Septiembre-2023;2.0;200.0;MAYOR;69075;N/A;6
8;Atlántico;8078;Baranoa;0;Enero - Septiembre;2022;8078-Enero - Septiembre-2022;F;F;MAYOR;69075;N/A;6
