DEPARTAMENTO;MUNICIPIO;AÑO;CONCAT;CODIGO_DANE;CASOS;POBLACIÓN;TASA;PORCENTAJE;Mun_Dep;CAMBIO;CamPORC;CAMBIOConteo;CamCasos;CamCasosPorc;PDET;CATEGORIA
VICHADA;LA PRIMAVERA;2012;99524-2012;99524;4;9426;42.4358158285593;0.0249485436287656;LA PRIMAVERA - VICHADA;Mayor;97.39019732654359;Mayor;2.0;100.0;N/A;6
VICHADA;LA PRIMAVERA;2011;99524-2011;99524;2;9303;21.49844136300118;0.0126558248433841;LA PRIMAVERA - VICHADA;Mayor;inf;Mayor;2.0;inf;N/A;6
VICHADA;LA PRIMAVERA;2010;99524-2010;99524;0;9154;0.0;0.0;LA PRIMAVERA - VICHADA;NA;NA;NA;NA;NA;N/A;6
VICHADA;PUERTO CARREÑO (CT);2023;99001-2023;99001;4;21007;19.041271956966725;0.0524246395806028;PUERTO CARREÑO (CT) - VICHADA;Menor;63.998147803546;Menor;7.0;63.63636363636363;N/A;6
VICHADA;PUERTO CARREÑO (CT);2022;99001-2022;99001;11;20798;52.88970093278199;0.0818330605564648;PUERTO CARREÑO (CT) - VICHADA;Mayor;81.39404429913128;Mayor;5.0;83.33333333333334;N/A;6
VICHADA;PUERTO CARREÑO (CT);2021;99001-2021;99001;6;20578;29.157352512391878;0.043249477402148;PUERTO CARREÑO (CT) - VICHADA;Menor;15.468669730502754;Menor;1.0;14.285714285714292;N/A;6
VICHADA;PUERTO CARREÑO (CT);2020;99001-2020;99001;7;20294;34.49295358233961;0.0501684225614563;PUERTO CARREÑO (CT) - VICHADA;Menor;52.91941789034526;Menor;8.0;53.333333333333336;N/A;6
VICHADA;PUERTO CARREÑO (CT);2019;99001-2019;99001;15;20474;73.26365146038879;0.1185208596713021;PUERTO CARREÑO (CT) - VICHADA;Mayor;39.44070972497269;Mayor;4.0;36.363636363636374;N/A;6
VICHADA;PUERTO CARREÑO (CT);2018;99001-2018;99001;11;20936;52.54107756973634;0.0868398200047367;PUERTO CARREÑO (CT) - VICHADA;Menor;9.603076041268636;Menor;1.0;8.333333333333329;N/A;6
VICHADA;PUERTO CARREÑO (CT);2017;99001-2017;99001;12;20646;58.12263876780006;0.0993459723487043;PUERTO CARREÑO (CT) - VICHADA;Mayor;32.73273273273273;Mayor;3.0;33.33333333333334;N/A;6
VICHADA;PUERTO CARREÑO (CT);2016;99001-2016;99001;9;20553;43.78922784994892;0.0739888194672805;PUERTO CARREÑO (CT) - VICHADA;Mayor;78.65129178222159;Mayor;4.0;80.0;N/A;6
VICHADA;PUERTO CARREÑO (CT);2015;99001-2015;99001;5;20399;24.51100544144321;0.0401284109149277;PUERTO CARREÑO (CT) - VICHADA;Menor;50.27452326094418;Menor;5.0;50.0;N/A;6
VICHADA;PUERTO CARREÑO (CT);2014;99001-2014;99001;10;20287;49.29265046581556;0.077172403148634;PUERTO CARREÑO (CT) - VICHADA;Mayor;65.42613496327701;Mayor;4.0;66.66666666666666;N/A;6
VICHADA;PUERTO CARREÑO (CT);2013;99001-2013;99001;6;20136;29.797377830750893;0.0400774831340591;PUERTO CARREÑO (CT) - VICHADA;Mayor;49.33700834326578;Mayor;2.0;50.0;N/A;6
VICHADA;PUERTO CARREÑO (CT);2012;99001-2012;99001;4;20047;19.95311019105103;0.0249485436287656;PUERTO CARREÑO (CT) - VICHADA;Menor;33.77562727590161;Menor;2.0;33.33333333333333;N/A;6
VICHADA;PUERTO CARREÑO (CT);2011;99001-2011;99001;6;19914;30.12955709551069;0.0379674745301525;PUERTO CARREÑO (CT) - VICHADA;Mayor;197.18288641156965;Mayor;4.0;200.0;N/A;6
VICHADA;PUERTO CARREÑO (CT);2010;99001-2010;99001;2;19727;10.138389009986314;0.0394244037058939;PUERTO CARREÑO (CT) - VICHADA;NA;NA;NA;NA;NA;N/A;6
VAUPÉS;TARAIRA;2023;97666-2023;97666;0;2765;0.0;0.0;TARAIRA - VAUPÉS;Menor;100.0;Menor;1.0;100.0;N/A;6
VAUPÉS;TARAIRA;2022;97666-2022;97666;1;2647;37.778617302606726;0.0074393691414968;TARAIRA - VAUPÉS;Mayor;inf;Mayor;1.0;inf;N/A;6
VAUPÉS;TARAIRA;2021;97666-2021;97666;0;2534;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2020;97666-2020;97666;0;2423;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2019;97666-2019;97666;0;2318;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2018;97666-2018;97666;0;2215;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2017;97666-2017;97666;0;2163;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2016;97666-2016;97666;0;2084;0.0;0.0;TARAIRA - VAUPÉS;Menor;100.0;Menor;1.0;100.0;N/A;6
VAUPÉS;TARAIRA;2015;97666-2015;97666;1;2049;48.80429477794046;0.0080256821829855;TARAIRA - VAUPÉS;Mayor;inf;Mayor;1.0;inf;N/A;6
VAUPÉS;TARAIRA;2014;97666-2014;97666;0;1962;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2013;97666-2013;97666;0;1917;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2012;97666-2012;97666;0;1869;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2011;97666-2011;97666;0;1786;0.0;0.0;TARAIRA - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;TARAIRA;2010;97666-2010;97666;0;1703;0.0;0.0;TARAIRA - VAUPÉS;NA;NA;NA;NA;NA;N/A;6
VAUPÉS;CARURU;2023;97161-2023;97161;0;3653;0.0;0.0;CARURU - VAUPÉS;Menor;100.0;Menor;3.0;100.0;N/A;6
VAUPÉS;CARURU;2022;97161-2022;97161;3;3498;85.76329331046313;0.0223181074244904;CARURU - VAUPÉS;Mayor;inf;Mayor;3.0;inf;N/A;6
VAUPÉS;CARURU;2021;97161-2021;97161;0;3349;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;CARURU;2020;97161-2020;97161;0;3201;0.0;0.0;CARURU - VAUPÉS;Menor;100.0;Menor;1.0;100.0;N/A;6
VAUPÉS;CARURU;2019;97161-2019;97161;1;3056;32.72251308900524;0.0079013906447534;CARURU - VAUPÉS;Mayor;inf;Mayor;1.0;inf;N/A;6
VAUPÉS;CARURU;2018;97161-2018;97161;0;2915;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;CARURU;2017;97161-2017;97161;0;2871;0.0;0.0;CARURU - VAUPÉS;Menor;100.0;Menor;1.0;100.0;N/A;6
VAUPÉS;CARURU;2016;97161-2016;97161;1;2768;36.127167630057805;0.0082209799408089;CARURU - VAUPÉS;Mayor;inf;Mayor;1.0;inf;N/A;6
VAUPÉS;CARURU;2015;97161-2015;97161;0;2710;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;CARURU;2014;97161-2014;97161;0;2652;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;CARURU;2013;97161-2013;97161;0;2586;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
