departamento;ano;casos;proyeccion;tasa;CambioConteo;CambioCasos;CambioCasosPor
SUCRE;2020;162;949252;17.06606886264132;Mayor;2.0;1.25
SUCRE;2019;160;928984;17.223116867459506;Mayor;16.0;11.111111111111114
SUCRE;2018;144;904863;15.91401129231718;Mayor;28.0;24.13793103448276
SUCRE;2017;116;888638;13.053684402422585;Mayor;3.0;2.654867256637175
SUCRE;2016;113;877397;12.879004601109871;Menor;18.0;13.74045801526718
SUCRE;2015;131;867701;15.09736648914776;Menor;18.0;12.080536912751683
SUCRE;2014;149;859324;17.33921082152948;Menor;17.0;10.240963855421683
SUCRE;2013;166;851157;19.502864923862457;Mayor;18.0;12.162162162162161
SUCRE;2012;148;842950;17.557387745417877;Mayor;27.0;22.31404958677686
SUCRE;2011;121;834736;14.495601004389412;Mayor;86.0;245.71428571428572
SUCRE;2010;35;826411;4.235180799868346;NA;NA;NA
VALLE;2023;1337;4622132;28.926045383385848;Menor;862.0;39.19963619827194
VALLE;2022;2199;4589278;47.91603385107636;Menor;391.0;15.096525096525099
VALLE;2021;2590;4556752;56.838730745057006;Mayor;38.0;1.4890282131661507
VALLE;2020;2552;4532152;56.30879105555153;Mayor;304.0;13.52313167259787
VALLE;2019;2248;4506768;49.88053523056878;Mayor;6.0;0.2676181980374679
VALLE;2018;2242;4475886;50.09064127191801;Menor;141.0;5.916911456147716
VALLE;2017;2383;4432549;53.76139101902765;Mayor;3.0;0.12605042016807033
VALLE;2016;2380;4414569;53.91239779013535;Menor;222.0;8.53189853958493
VALLE;2015;2602;4397194;59.17410057413887;Menor;133.0;4.862888482632542
VALLE;2014;2735;4383018;62.39992626085497;Menor;701.0;20.401629802095457
VALLE;2013;3436;4371304;78.60354713376145;Menor;126.0;3.53733857383493
VALLE;2012;3562;4359288;81.71059127086808;Mayor;79.0;2.268159632500712
VALLE;2011;3483;4343131;80.19560082346123;Mayor;2443.0;234.90384615384613
VALLE;2010;1040;4323751;24.053189001864357;NA;NA;NA
GUAINÍA;2022;1;52061;1.9208236491807689;Menor;5.0;83.33333333333333
GUAINÍA;2021;6;51450;11.661807580174928;Mayor;1.0;20.0
GUAINÍA;2020;5;50636;9.874397661742634;Mayor;2.0;66.66666666666666
GUAINÍA;2019;3;49473;6.063913649869626;Igual;0.0;0.0
GUAINÍA;2018;3;48114;6.235191420376606;Igual;0.0;0.0
GUAINÍA;2017;3;46250;6.486486486486486;Mayor;1.0;50.0
GUAINÍA;2016;2;44722;4.472071910916328;Igual;0.0;0.0
GUAINÍA;2015;2;43291;4.6198979002564045;Menor;1.0;33.33333333333333
